customer_id,signup_date,country,age,gender,subscription_tier,monthly_fee,account_age_days,is_premium,age_group,country_region,total_sessions,avg_sessions_per_day,total_usage_minutes,avg_session_duration,avg_features_per_session,total_errors,days_active,days_since_last_activity,usage_consistency_std,total_tickets,avg_resolution_hours,unresolved_tickets,technical_tickets_pct,high_priority_tickets,avg_satisfaction,days_since_last_ticket,churned
60,2022-02-14,France,38.0,M,Basic,10.0,1051,0,36-50,Europe,296,5.481481481481482,1591.04,29.463703703703704,7.055555555555555,25,54,0,2.7931232315175505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
61,2024-01-18,Australia,52.0,F,Premium,31.52,348,1,51+,Oceania,401,5.647887323943662,1868.37,26.31507042253521,7.492957746478873,37,71,0,2.6027380722687066,5.0,13.788611111111111,1.0,60.0,1.0,3.0,13.0,1
62,2023-04-16,Mexico,29.0,F,Basic,12.88,625,0,26-35,North America,87,5.8,398.71999999999997,26.58133333333333,6.066666666666666,11,15,12,2.2103651928390216,2.0,30.53361111111111,1.0,50.0,0.0,0.0,161.0,0
63,2023-07-04,USA,43.0,F,Basic,14.09,546,0,36-50,North America,345,5.8474576271186445,1755.81,29.759491525423726,7.6440677966101696,26,59,0,2.2955245762287393,4.0,12.880185185185185,1.0,75.0,0.0,4.5,8.0,0
64,2022-05-08,Italy,43.5,M,Basic,10.96,968,0,36-50,Europe,254,4.703703703703703,1451.83,26.88574074074074,8.074074074074074,23,54,4,2.758380914421108,3.0,10.318981481481481,0.0,100.0,0.0,3.6666666666666665,216.0,1
65,2023-01-23,France,36.0,Unknown,Basic,10.39,708,0,36-50,Europe,275,5.288461538461538,1350.41,25.96942307692308,7.4423076923076925,27,52,0,2.703204622995792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
66,2022-03-22,Italy,62.0,M,Basic,13.64,1015,0,51+,Europe,59,5.363636363636363,298.16,27.10545454545455,6.909090909090909,4,11,5,2.693426341028366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
67,2023-07-20,UK,24.0,M,Premium,30.07,530,1,18-25,Europe,68,4.25,415.88,25.9925,6.3125,5,16,7,2.932575659723036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
68,2022-10-28,USA,64.0,Unknown,Premium,37.33,795,1,51+,North America,392,4.72289156626506,2388.64,28.77879518072289,7.819277108433735,40,83,0,2.519742790842188,1.0,14.92361111111111,0.0,0.0,0.0,0.0,200.0,0
69,2024-04-29,UK,24.0,M,Basic,10.65,246,0,18-25,Europe,70,4.117647058823529,519.33,30.548823529411766,8.117647058823529,9,17,9,2.6898502035702765,4.0,22.441944444444445,2.0,50.0,3.0,5.0,2.0,0
70,2023-10-06,Australia,43.0,M,Basic,11.13,452,0,36-50,Oceania,235,4.607843137254902,1324.7,25.97450980392157,7.176470588235294,35,51,0,2.7135101353969473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,2023-09-26,Australia,43.5,M,Basic,10.59,462,0,36-50,Oceania,237,4.9375,1391.21,28.983541666666667,6.541666666666667,29,48,0,2.846470378735966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
72,2024-06-25,Germany,22.0,M,Basic,11.23,189,0,18-25,Europe,208,4.16,1503.29,30.0658,6.38,25,50,1,2.376414723648949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
73,2024-06-01,Australia,38.0,M,Basic,13.98,213,0,36-50,Oceania,155,4.5588235294117645,1020.62,30.01823529411765,8.147058823529411,18,34,0,2.5842316303747985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
74,2023-01-06,Brazil,31.0,F,Basic,10.65,725,0,26-35,South America,298,4.966666666666667,1499.02,24.983666666666668,6.716666666666667,28,60,0,2.655130413769593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75,2023-08-15,Spain,21.0,M,Basic,14.96,504,0,18-25,Europe,308,5.220338983050848,2089.76,35.419661016949156,7.745762711864407,18,59,1,2.6978139081688517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
76,2022-07-16,USA,40.0,F,Basic,11.63,899,0,36-50,North America,105,5.25,767.73,38.3865,8.15,8,20,1,2.2448772091610105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
77,2023-12-23,Mexico,59.0,M,Basic,14.6,374,0,51+,North America,171,4.75,953.06,26.473888888888887,7.444444444444445,15,36,5,2.8921074866411365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
78,2022-03-13,USA,37.0,M,Basic,10.94,1024,0,36-50,North America,204,6.181818181818182,1019.09,30.881515151515153,8.363636363636363,11,33,0,2.4806065973686944,5.0,10.943240740740741,2.0,40.0,1.0,3.0,19.0,0
79,2022-02-16,UK,32.0,F,Basic,10.93,1049,0,26-35,Europe,31,4.428571428571429,215.84,30.834285714285716,10.428571428571429,3,7,14,1.511857892036909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80,2023-11-09,USA,67.0,M,Basic,12.82,418,0,51+,North America,134,4.466666666666667,1240.77,41.359,8.0,17,30,7,2.4597915994335127,2.0,23.392222222222223,1.0,100.0,0.0,0.0,75.0,0
81,2022-08-22,Spain,69.0,F,Premium,30.5,862,1,51+,Europe,93,5.470588235294118,513.03,30.178235294117645,7.823529411764706,7,17,4,2.426871624613247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
82,2024-03-02,UK,62.0,M,Basic,14.0,304,0,51+,Europe,51,5.666666666666667,236.57,26.285555555555554,8.222222222222221,4,9,30,2.9580398915498076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
83,2022-10-24,USA,46.0,F,Basic,12.19,799,0,36-50,North America,150,5.172413793103448,893.52,30.811034482758622,8.068965517241379,15,29,9,2.8039381172767066,1.0,24.534166666666668,0.0,100.0,0.0,5.0,14.0,0
84,2022-03-23,Mexico,25.0,F,Basic,13.49,1014,0,18-25,North America,157,5.233333333333333,1005.77,33.525666666666666,7.566666666666666,11,30,1,2.750339581959281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
85,2024-05-25,UK,58.0,F,Basic,10.86,220,0,51+,Europe,284,4.733333333333333,1713.68,28.561333333333334,7.033333333333333,41,60,0,2.5302687380998976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
86,2022-08-27,UK,65.0,F,Premium,36.41,857,1,51+,Europe,385,5.133333333333334,2170.22,28.936266666666665,8.0,30,75,0,2.8585260487130726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
87,2024-06-06,Italy,36.0,F,Enterprise,159.4,208,1,36-50,Europe,278,5.56,1224.89,24.4978,7.68,25,50,1,2.6661904336658755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
88,2022-04-14,UK,65.0,M,Basic,13.77,992,0,51+,Europe,230,5.0,1476.02,32.087391304347825,7.804347826086956,18,46,0,2.5991451586157237,4.0,13.971319444444443,0.0,50.0,0.0,4.0,7.0,0
89,2023-01-25,UK,56.0,F,Premium,32.96,706,1,51+,Europe,117,5.086956521739131,682.99,29.695217391304347,6.217391304347826,15,23,1,2.609650681574432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
90,2022-10-12,Brazil,63.0,F,Basic,14.66,811,0,51+,South America,119,3.966666666666667,1023.1,34.10333333333333,7.833333333333333,14,30,0,2.141274730450151,4.0,21.781388888888888,2.0,25.0,1.0,4.0,33.0,0
91,2023-04-10,USA,45.0,M,Basic,14.8,631,0,36-50,North America,230,5.2272727272727275,1387.15,31.526136363636365,7.954545454545454,15,44,1,2.586760894224679,5.0,19.424375,1.0,60.0,1.0,3.0,56.0,0
92,2023-10-13,Italy,63.0,M,Basic,14.33,445,0,51+,Europe,105,4.565217391304348,849.2,36.92173913043479,6.391304347826087,15,23,1,2.9821603968282906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
93,2024-05-04,Australia,44.0,F,Premium,35.71,241,1,36-50,Oceania,138,5.3076923076923075,745.61,28.677307692307693,7.384615384615385,15,26,3,2.1683031295320454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
94,2023-01-09,USA,21.0,F,Basic,12.09,722,0,18-25,North America,293,5.425925925925926,1502.01,27.815,7.907407407407407,34,54,1,2.2620899657788653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
95,2022-06-16,Italy,32.0,M,Enterprise,105.79,929,1,26-35,Europe,277,4.859649122807017,1556.31,27.303684210526313,8.192982456140351,33,57,0,2.635191755636092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
96,2023-01-15,Mexico,52.0,F,Basic,14.73,716,0,51+,North America,52,4.7272727272727275,236.28,21.48,5.636363636363637,3,11,7,3.0689056385268376,2.0,17.258194444444445,0.0,0.0,0.0,4.5,24.0,0
97,2022-12-30,UK,54.0,M,Basic,14.75,732,0,51+,Europe,260,5.3061224489795915,1814.77,37.03612244897959,6.673469387755102,27,49,0,2.655215634939507,2.0,11.486666666666666,0.0,50.0,0.0,5.0,84.0,0
98,2022-08-03,Mexico,18.0,M,Premium,30.18,881,1,18-25,North America,276,4.842105263157895,1781.8,31.259649122807016,7.631578947368421,24,57,0,2.6911858358365963,1.0,6.668333333333333,0.0,100.0,0.0,1.0,1.0,0
99,2023-11-18,Spain,20.0,F,Enterprise,135.68,409,1,18-25,Europe,162,5.0625,792.74,24.773125,6.40625,12,32,4,2.2423705774139147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
100,2022-10-01,Mexico,43.5,M,Premium,38.79,822,1,36-50,North America,274,4.807017543859649,1859.52,32.62315789473684,6.684210526315789,32,57,0,2.438080308146643,5.0,21.25583333333333,2.0,60.0,0.0,5.0,70.0,0
101,2023-12-20,Germany,41.0,F,Premium,30.8,377,1,36-50,Europe,417,5.346153846153846,2568.49,32.92935897435897,7.3076923076923075,37,78,1,2.526878486416568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
102,2023-12-01,Australia,44.0,M,Basic,10.97,396,0,36-50,Oceania,135,6.428571428571429,599.33,28.53952380952381,7.285714285714286,9,21,3,2.8735244660769563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
103,2023-10-26,France,57.0,M,Basic,14.88,432,0,51+,Europe,51,4.636363636363637,363.2,33.018181818181816,6.545454545454546,3,11,10,3.170890325215531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
104,2022-03-15,Mexico,53.0,M,Basic,14.23,1022,0,51+,North America,362,5.098591549295775,1933.27,27.229154929577465,6.23943661971831,31,71,0,2.3613248676928613,3.0,16.158472222222223,1.0,33.33333333333333,1.0,0.0,59.0,0
105,2023-09-16,Spain,51.0,F,Basic,14.55,472,0,51+,Europe,202,4.488888888888889,1306.8700000000001,29.041555555555558,8.311111111111112,25,45,0,2.537198009098568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
106,2023-10-13,UK,46.0,M,Enterprise,114.21,445,1,36-50,Europe,30,5.0,128.67000000000002,21.445000000000004,9.0,0,6,0,2.4494897427831783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
107,2022-06-25,Brazil,41.0,M,Premium,32.1,920,1,36-50,South America,262,4.5964912280701755,1854.43,32.53385964912281,7.140350877192983,33,57,0,2.541510020235489,5.0,8.645972222222223,1.0,40.0,0.0,3.75,137.0,1
108,2023-07-01,USA,41.0,M,Premium,36.04,549,1,36-50,North America,58,5.8,277.05,27.705000000000002,7.1,4,10,2,3.0110906108363245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
109,2024-01-17,UK,59.0,M,Basic,12.5,349,0,51+,Europe,231,4.529411764705882,1767.35,34.653921568627446,7.803921568627451,27,51,0,2.693346922893303,3.0,31.051944444444445,1.0,66.66666666666666,0.0,4.0,103.0,0
110,2022-09-08,Spain,21.0,M,Premium,32.98,845,1,18-25,Europe,251,5.5777777777777775,1287.36,28.607999999999997,7.911111111111111,25,45,1,2.5538641745837274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
111,2022-06-17,Italy,20.0,M,Premium,38.83,928,1,18-25,Europe,334,4.840579710144928,2159.76,31.300869565217393,7.971014492753623,25,69,0,2.8677885946666146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
112,2023-04-19,France,51.0,F,Basic,14.5,622,0,51+,Europe,192,5.647058823529412,864.24,25.418823529411764,7.617647058823529,20,34,0,2.268123679771006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
113,2023-01-24,Australia,66.0,M,Basic,11.45,707,0,51+,Oceania,132,5.076923076923077,873.02,33.57769230769231,7.615384615384615,15,26,3,2.6065007488673686,4.0,25.885,1.0,25.0,0.0,4.5,53.0,0
114,2022-10-04,Australia,40.0,F,Premium,31.55,819,1,36-50,Oceania,202,4.926829268292683,1304.89,31.82658536585366,7.463414634146342,18,41,1,2.8318743254463024,1.0,8.927222222222222,0.0,0.0,0.0,4.0,153.0,0
115,2023-10-18,Australia,70.0,F,Basic,10.74,440,0,51+,Oceania,264,5.176470588235294,1491.53,29.245686274509804,8.156862745098039,27,51,0,2.8050374853319964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
116,2023-12-06,Brazil,69.0,M,Enterprise,148.43,391,1,51+,South America,58,4.142857142857143,328.5,23.464285714285715,7.785714285714286,7,14,0,2.5071326821120348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
117,2023-07-25,France,40.0,M,Basic,10.65,525,0,36-50,Europe,152,5.241379310344827,882.12,30.41793103448276,7.344827586206897,13,29,1,2.668000487440964,2.0,15.089166666666667,0.0,50.0,0.0,4.5,73.0,0
118,2022-08-13,Brazil,62.0,F,Basic,12.36,871,0,51+,South America,267,4.8545454545454545,1439.12,26.165818181818178,7.381818181818182,35,55,1,2.7176936151557967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119,2023-12-03,Brazil,22.0,F,Basic,12.3,394,0,18-25,South America,27,4.5,166.72,27.786666666666665,6.833333333333333,6,6,5,1.51657508881031,3.0,11.570972222222222,1.0,0.0,0.0,4.5,48.0,0
